11:28:59 INFO | Running autotest_quickmerge step.
13:29:15 INFO | autoserv| [stderr] Warning: Permanently added '192.168.1.42' (RSA) to the list of known hosts.
13:29:16 INFO | autoserv| [stderr] Warning: Permanently added '192.168.1.42' (RSA) to the list of known hosts.
13:29:16 INFO | autoserv| INFO	----	----	kernel=3.18.0-00003-g9bc7c2f	localtime=Feb 11 13:29:16	timestamp=1455218956
13:29:16 INFO | autoserv| Installing autotest on 192.168.1.42
13:29:17 INFO | autoserv| Using installation dir /usr/local/autotest
13:29:19 INFO | autoserv| Installation of autotest completed from /build/lars/usr/local/build/autotest/client/
13:29:19 INFO | autoserv| Installing updated global_config.ini.
13:29:23 INFO | autoserv| Executing /usr/local/autotest/bin/autotest /usr/local/autotest/control phase 0
13:29:27 INFO | autoserv| Entered autotestd_monitor.
13:29:27 INFO | autoserv| Finished launching tail subprocesses.
13:29:27 INFO | autoserv| Finished waiting on autotestd to start.
13:29:27 INFO | autoserv| START	----	----	timestamp=1455218972	localtime=Feb 11 13:29:32
13:29:27 INFO | autoserv| START	platform_DMVerityBitCorruption.first	platform_DMVerityBitCorruption.first	timestamp=1455218972	localtime=Feb 11 13:29:32
13:29:27 INFO | autoserv| Bundling /build/lars/usr/local/build/autotest/client/site_tests/platform_DMVerityBitCorruption into test-platform_DMVerityBitCorruption.tar.bz2
13:29:54 INFO | autoserv| GOOD	platform_DMVerityBitCorruption.first	platform_DMVerityBitCorruption.first	timestamp=1455218978	localtime=Feb 11 13:29:38	completed successfully
13:29:54 INFO | autoserv| END GOOD	platform_DMVerityBitCorruption.first	platform_DMVerityBitCorruption.first	timestamp=1455218979	localtime=Feb 11 13:29:39
13:30:25 INFO | autoserv| run process timeout (30) fired on: /usr/bin/ssh -a -x    -o ControlPath=/tmp/_autotmp_oV8kN2ssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42 "export LIBC_FATAL_STDERR_=1; true"
13:34:09 INFO | autoserv| START	platform_DMVerityBitCorruption.middle	platform_DMVerityBitCorruption.middle	timestamp=1455219252	localtime=Feb 11 13:34:12
13:38:01 INFO | autoserv| GOOD	platform_DMVerityBitCorruption.middle	platform_DMVerityBitCorruption.middle	timestamp=1455219257	localtime=Feb 11 13:34:17	completed successfully
13:38:01 INFO | autoserv| END GOOD	platform_DMVerityBitCorruption.middle	platform_DMVerityBitCorruption.middle	timestamp=1455219257	localtime=Feb 11 13:34:17
13:38:31 INFO | autoserv| run process timeout (30) fired on: /usr/bin/ssh -a -x    -o ControlPath=/tmp/_autotmp_oV8kN2ssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42 "export LIBC_FATAL_STDERR_=1; true"
13:48:24 INFO | autoserv| START	platform_DMVerityBitCorruption.last	platform_DMVerityBitCorruption.last	timestamp=1455220109	localtime=Feb 11 13:48:29
13:52:19 INFO | autoserv| GOOD	platform_DMVerityBitCorruption.last	platform_DMVerityBitCorruption.last	timestamp=1455220115	localtime=Feb 11 13:48:35	completed successfully
13:52:19 INFO | autoserv| END GOOD	platform_DMVerityBitCorruption.last	platform_DMVerityBitCorruption.last	timestamp=1455220115	localtime=Feb 11 13:48:35
13:52:49 INFO | autoserv| run process timeout (30) fired on: /usr/bin/ssh -a -x    -o ControlPath=/tmp/_autotmp_oV8kN2ssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42 "export LIBC_FATAL_STDERR_=1; true"
14:03:00 INFO | autoserv| END GOOD	----	----	timestamp=1455220985	localtime=Feb 11 14:03:05
14:03:01 INFO | autoserv| Got lock of exit_code_file.
14:03:01 INFO | autoserv| Released lock of exit_code_file and closed it.
14:03:02 INFO | autoserv| Client complete
14:03:33 INFO | autoserv| Finished processing control file
14:03:33 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_UWAsrbssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpTx87I9 -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:03:36 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_4E5JO6ssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:03:40 INFO | autoserv| record_state_duration failed: job_or_task_id=None, hostname=192.168.1.42, status=Running
14:03:41 INFO | autoserv| Results placed in /tmp/test_that_results_Mo9M4N/results-02-platform_DMVerityCorruption
14:03:41 INFO | autoserv| Logged pid 583 to /tmp/test_that_results_Mo9M4N/results-02-platform_DMVerityCorruption/.autoserv_execute
14:03:41 INFO | autoserv| I am PID 583
14:03:41 INFO | autoserv| Not checking if job_repo_url contains autotest packages on ['192.168.1.42']
14:03:41 INFO | autoserv| Processing control file
14:03:41 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_iEAJ7ossh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpHo48cX -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:03:45 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_I2pOQfssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:03:49 INFO | autoserv| INFO	----	----	kernel=3.18.0-00003-g9bc7c2f	localtime=Feb 11 14:03:49	timestamp=1455221029
14:03:50 INFO | autoserv| Installing autotest on 192.168.1.42
14:03:50 INFO | autoserv| Using installation dir /usr/local/autotest
14:03:52 INFO | autoserv| Installation of autotest completed from /build/lars/usr/local/build/autotest/client/
14:03:52 INFO | autoserv| Installing updated global_config.ini.
14:03:53 INFO | autoserv| Executing /usr/local/autotest/bin/autotest /usr/local/autotest/control phase 0
14:03:56 INFO | autoserv| START	----	----	timestamp=1455221041	localtime=Feb 11 14:04:01
14:03:56 INFO | autoserv| START	platform_DMVerityCorruption	platform_DMVerityCorruption	timestamp=1455221041	localtime=Feb 11 14:04:01
14:03:56 INFO | autoserv| Bundling /build/lars/usr/local/build/autotest/client/site_tests/platform_DMVerityCorruption into test-platform_DMVerityCorruption.tar.bz2
14:03:59 INFO | autoserv| Entered autotestd_monitor.
14:03:59 INFO | autoserv| Finished launching tail subprocesses.
14:03:59 INFO | autoserv| Finished waiting on autotestd to start.
14:04:10 INFO | autoserv| GOOD	platform_DMVerityCorruption	platform_DMVerityCorruption	timestamp=1455221049	localtime=Feb 11 14:04:09	completed successfully
14:04:10 INFO | autoserv| END GOOD	platform_DMVerityCorruption	platform_DMVerityCorruption	timestamp=1455221049	localtime=Feb 11 14:04:09
14:04:16 INFO | autoserv| END GOOD	----	----	timestamp=1455221061	localtime=Feb 11 14:04:21
14:04:16 INFO | autoserv| Got lock of exit_code_file.
14:04:16 INFO | autoserv| Released lock of exit_code_file and closed it.
14:04:18 INFO | autoserv| Killing child processes.
14:04:18 INFO | autoserv| Client complete
14:04:19 INFO | autoserv| Finished processing control file
14:04:19 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_XYXHUDssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpYGa2ri -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:04:21 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_waSrNXssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:04:24 INFO | autoserv| record_state_duration failed: job_or_task_id=None, hostname=192.168.1.42, status=Running
14:04:25 INFO | autoserv| Results placed in /tmp/test_that_results_Mo9M4N/results-03-provision_AutoUpdate.double
14:04:25 INFO | autoserv| Logged pid 687 to /tmp/test_that_results_Mo9M4N/results-03-provision_AutoUpdate.double/.autoserv_execute
14:04:25 INFO | autoserv| I am PID 687
14:04:25 INFO | autoserv| Not checking if job_repo_url contains autotest packages on ['192.168.1.42']
14:04:25 INFO | autoserv| Processing control file
14:04:25 INFO | autoserv| START	provision_AutoUpdate.double	provision_AutoUpdate.double	timestamp=1455221065	localtime=Feb 11 14:04:25
14:04:25 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_rvHc6zssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmp7e5VYJ -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:04:27 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_o8wGYKssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:04:27 INFO | autoserv| Installing autotest on 192.168.1.42
14:04:27 INFO | autoserv| Using installation dir /tmp/sysinfo/autoserv-cNw0iL
14:04:27 INFO | autoserv| Could not install autotest using the packaging system: No repos to install an autotest client from. Trying other methods
14:04:37 INFO | autoserv| Installation of autotest completed from /build/lars/usr/local/build/autotest/client/
14:04:37 INFO | autoserv| Installing updated global_config.ini.
14:04:47 INFO | autoserv| Executing /tmp/sysinfo/autoserv-cNw0iL/bin/autotest /tmp/sysinfo/autoserv-cNw0iL/control phase 0
14:04:48 INFO | autoserv| Entered autotestd_monitor.
14:04:48 INFO | autoserv| Finished launching tail subprocesses.
14:04:48 INFO | autoserv| Finished waiting on autotestd to start.
14:04:49 INFO | autoserv| START	----	----	timestamp=1455221094	localtime=Feb 11 14:04:54
14:04:49 INFO | autoserv| GOOD	----	sysinfo.before	timestamp=1455221094	localtime=Feb 11 14:04:54
14:04:49 INFO | autoserv| END GOOD	----	----	timestamp=1455221094	localtime=Feb 11 14:04:54
14:04:49 INFO | autoserv| Got lock of exit_code_file.
14:04:49 INFO | autoserv| Released lock of exit_code_file and closed it.
14:04:51 INFO | autoserv| Client complete
14:05:01 INFO | autoserv| Autotest caught exception when running test:
14:05:01 INFO | autoserv| Traceback (most recent call last):
14:05:01 INFO | autoserv| File "/build/lars/usr/local/build/autotest/client/common_lib/test.py", line 504, in _exec
14:05:01 INFO | autoserv| _cherry_pick_call(self.initialize, *args, **dargs)
14:05:01 INFO | autoserv| File "/build/lars/usr/local/build/autotest/client/common_lib/test.py", line 656, in _cherry_pick_call
14:05:01 INFO | autoserv| return func(*p_args, **p_dargs)
14:05:01 INFO | autoserv| File "/build/lars/usr/local/build/autotest/server/site_tests/provision_AutoUpdate/provision_AutoUpdate.py", line 42, in initialize
14:05:01 INFO | autoserv| 'Test not available for test_that. chroot detected, '
14:05:01 INFO | autoserv| TestNAError: Test not available for test_that. chroot detected, you are probably using test_that.
14:05:13 INFO | autoserv| Executing /tmp/sysinfo/autoserv-cNw0iL/bin/autotest /tmp/sysinfo/autoserv-cNw0iL/control phase 0
14:05:15 INFO | autoserv| START	----	----	timestamp=1455221119	localtime=Feb 11 14:05:19
14:05:15 INFO | autoserv| Entered autotestd_monitor.
14:05:15 INFO | autoserv| Finished launching tail subprocesses.
14:05:15 INFO | autoserv| Finished waiting on autotestd to start.
14:05:16 INFO | autoserv| GOOD	----	sysinfo.after	timestamp=1455221121	localtime=Feb 11 14:05:21
14:05:16 INFO | autoserv| END GOOD	----	----	timestamp=1455221121	localtime=Feb 11 14:05:21
14:05:16 INFO | autoserv| Got lock of exit_code_file.
14:05:16 INFO | autoserv| Released lock of exit_code_file and closed it.
14:05:18 INFO | autoserv| Client complete
14:06:16 INFO | autoserv| TEST_NA	provision_AutoUpdate.double	provision_AutoUpdate.double	timestamp=1455221176	localtime=Feb 11 14:06:16	Test not available for test_that. chroot detected, you are probably using test_that.
14:06:16 INFO | autoserv| END TEST_NA	provision_AutoUpdate.double	provision_AutoUpdate.double	timestamp=1455221176	localtime=Feb 11 14:06:16
14:06:16 INFO | autoserv| Finished processing control file
14:06:16 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_OW231Tssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpN9Z7o8 -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:06:20 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_BV946Tssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:06:22 INFO | autoserv| record_state_duration failed: job_or_task_id=None, hostname=192.168.1.42, status=Running
14:06:22 INFO | autoserv| Results placed in /tmp/test_that_results_Mo9M4N/results-04-security_EnableChromeTesting
14:06:22 INFO | autoserv| Logged pid 803 to /tmp/test_that_results_Mo9M4N/results-04-security_EnableChromeTesting/.autoserv_execute
14:06:22 INFO | autoserv| I am PID 803
14:06:22 INFO | autoserv| Not checking if job_repo_url contains autotest packages on ['192.168.1.42']
14:06:22 INFO | autoserv| Processing control file
14:06:22 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_du6McVssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpFGDoaI -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:06:26 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_W1Cq_Qssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:06:29 INFO | autoserv| INFO	----	----	kernel=3.18.0-00003-g9bc7c2f	localtime=Feb 11 14:06:29	timestamp=1455221189
14:06:29 INFO | autoserv| Installing autotest on 192.168.1.42
14:06:29 INFO | autoserv| Using installation dir /usr/local/autotest
14:06:31 INFO | autoserv| Installation of autotest completed from /build/lars/usr/local/build/autotest/client/
14:06:31 INFO | autoserv| Installing updated global_config.ini.
14:06:38 INFO | autoserv| Executing /usr/local/autotest/bin/autotest /usr/local/autotest/control phase 0
14:06:39 INFO | autoserv| Entered autotestd_monitor.
14:06:39 INFO | autoserv| Finished launching tail subprocesses.
14:06:39 INFO | autoserv| Finished waiting on autotestd to start.
14:06:39 INFO | autoserv| START	----	----	timestamp=1455221204	localtime=Feb 11 14:06:44
14:06:39 INFO | autoserv| START	security_EnableChromeTesting	security_EnableChromeTesting	timestamp=1455221204	localtime=Feb 11 14:06:44
14:06:41 INFO | autoserv| Bundling /build/lars/usr/local/build/autotest/client/site_tests/security_EnableChromeTesting into test-security_EnableChromeTesting.tar.bz2
14:06:42 INFO | autoserv| GOOD	security_EnableChromeTesting	security_EnableChromeTesting	timestamp=1455221207	localtime=Feb 11 14:06:47	completed successfully
14:06:43 INFO | autoserv| END GOOD	security_EnableChromeTesting	security_EnableChromeTesting	timestamp=1455221207	localtime=Feb 11 14:06:47
14:06:47 INFO | autoserv| END GOOD	----	----	timestamp=1455221212	localtime=Feb 11 14:06:52
14:06:47 INFO | autoserv| Got lock of exit_code_file.
14:06:47 INFO | autoserv| Released lock of exit_code_file and closed it.
14:06:49 INFO | autoserv| Killing child processes.
14:06:49 INFO | autoserv| Client complete
14:06:51 INFO | autoserv| Finished processing control file
14:06:51 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_yP2Y5Rssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpRYZ2UZ -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:06:54 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_yCKYYDssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:06:57 INFO | autoserv| record_state_duration failed: job_or_task_id=None, hostname=192.168.1.42, status=Running
14:06:58 INFO | autoserv| Results placed in /tmp/test_that_results_Mo9M4N/results-05-login_OwnershipRetaken
14:06:58 INFO | autoserv| Logged pid 907 to /tmp/test_that_results_Mo9M4N/results-05-login_OwnershipRetaken/.autoserv_execute
14:06:58 INFO | autoserv| I am PID 907
14:06:58 INFO | autoserv| Not checking if job_repo_url contains autotest packages on ['192.168.1.42']
14:06:58 INFO | autoserv| Processing control file
14:06:58 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_TWzh5Issh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpT2_jRh -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:06:59 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_ulhUdmssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:07:03 INFO | autoserv| INFO	----	----	kernel=3.18.0-00003-g9bc7c2f	localtime=Feb 11 14:07:03	timestamp=1455221223
14:07:03 INFO | autoserv| Installing autotest on 192.168.1.42
14:07:03 INFO | autoserv| Using installation dir /usr/local/autotest
14:07:06 INFO | autoserv| Installation of autotest completed from /build/lars/usr/local/build/autotest/client/
14:07:06 INFO | autoserv| Installing updated global_config.ini.
14:07:08 INFO | autoserv| Executing /usr/local/autotest/bin/autotest /usr/local/autotest/control phase 0
14:07:09 INFO | autoserv| START	----	----	timestamp=1455221234	localtime=Feb 11 14:07:14
14:07:09 INFO | autoserv| START	login_OwnershipRetaken	login_OwnershipRetaken	timestamp=1455221234	localtime=Feb 11 14:07:14
14:07:09 INFO | autoserv| Bundling /build/lars/usr/local/build/autotest/client/site_tests/login_OwnershipRetaken into test-login_OwnershipRetaken.tar.bz2
14:07:13 INFO | autoserv| Entered autotestd_monitor.
14:07:13 INFO | autoserv| Finished launching tail subprocesses.
14:07:13 INFO | autoserv| Finished waiting on autotestd to start.
14:07:20 INFO | autoserv| ERROR	login_OwnershipRetaken	login_OwnershipRetaken	timestamp=1455221245	localtime=Feb 11 14:07:25	Unhandled OSError: [Errno 2] No such file or directory: '/usr/local/autotest/tests/login_OwnershipRetaken/src'
14:07:20 INFO | autoserv| END ERROR	login_OwnershipRetaken	login_OwnershipRetaken	timestamp=1455221246	localtime=Feb 11 14:07:26
14:07:44 INFO | autoserv| END GOOD	----	----	timestamp=1455221269	localtime=Feb 11 14:07:49
14:07:44 INFO | autoserv| Got lock of exit_code_file.
14:07:44 INFO | autoserv| Released lock of exit_code_file and closed it.
14:07:46 INFO | autoserv| Client complete
14:07:49 INFO | autoserv| Finished processing control file
14:07:49 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_endOdyssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpqHPZpK -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:07:51 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_nfirfqssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:07:55 INFO | autoserv| record_state_duration failed: job_or_task_id=None, hostname=192.168.1.42, status=Running
14:07:55 INFO | autoserv| Results placed in /tmp/test_that_results_Mo9M4N/results-06-kernel_ConfigVerify
14:07:55 INFO | autoserv| Logged pid 1011 to /tmp/test_that_results_Mo9M4N/results-06-kernel_ConfigVerify/.autoserv_execute
14:07:55 INFO | autoserv| I am PID 1011
14:07:55 INFO | autoserv| Not checking if job_repo_url contains autotest packages on ['192.168.1.42']
14:07:55 INFO | autoserv| Processing control file
14:07:55 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_DazXNIssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpZFJiZq -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
14:07:57 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x   -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_mUI9tmssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=900 -o ServerAliveCountMax=3 -o ConnectionAttempts=4 -o Protocol=2 -l root -p 22 192.168.1.42'
14:07:58 INFO | autoserv| INFO	----	----	kernel=3.18.0-00003-g9bc7c2f	localtime=Feb 11 14:07:58	timestamp=1455221278
14:07:59 INFO | autoserv| Installing autotest on 192.168.1.42
14:07:59 INFO | autoserv| Using installation dir /usr/local/autotest
14:08:01 INFO | autoserv| Installation of autotest completed from /build/lars/usr/local/build/autotest/client/
14:08:01 INFO | autoserv| Installing updated global_config.ini.
14:08:03 INFO | autoserv| Executing /usr/local/autotest/bin/autotest /usr/local/autotest/control phase 0
14:08:05 INFO | autoserv| START	----	----	timestamp=1455221289	localtime=Feb 11 14:08:09
14:08:05 INFO | autoserv| START	kernel_ConfigVerify	kernel_ConfigVerify	timestamp=1455221289	localtime=Feb 11 14:08:09
14:08:05 INFO | autoserv| Bundling /build/lars/usr/local/build/autotest/client/site_tests/kernel_ConfigVerify into test-kernel_ConfigVerify.tar.bz2
14:08:06 INFO | autoserv| Entered autotestd_monitor.
14:08:06 INFO | autoserv| Finished launching tail subprocesses.
14:08:06 INFO | autoserv| Finished waiting on autotestd to start.
14:08:07 INFO | autoserv| GOOD	kernel_ConfigVerify	kernel_ConfigVerify	timestamp=1455221292	localtime=Feb 11 14:08:12	completed successfully
14:08:07 INFO | autoserv| END GOOD	kernel_ConfigVerify	kernel_ConfigVerify	timestamp=1455221292	localtime=Feb 11 14:08:12
14:08:12 INFO | autoserv| END GOOD	----	----	timestamp=1455221298	localtime=Feb 11 14:08:18
14:08:12 INFO | autoserv| Got lock of exit_code_file.
14:08:12 INFO | autoserv| Released lock of exit_code_file and closed it.
14:08:14 INFO | autoserv| Client complete
14:08:22 INFO | autoserv| Finished processing control file
14:08:22 INFO | autoserv| Starting master ssh connection '/usr/bin/ssh -a -x -N -o ControlMaster=yes -o ControlPath=/tmp/_autotmp_4ok_PIssh-master/socket -o StrictHostKeyChecking=no -o UserKnownHostsFile=/tmp/tmpaiRQ31 -o BatchMode=yes -o ConnectTimeout=30 -o ServerAliveInterval=300 -l root -p 22 192.168.1.42'
